model_id,name,category,origin,implementation,repository_path,deployment,responsibility,canonical_interfaces,authoritative_state,uaf_type,sysml_type
VV-CMP-001,MCP gateway,Core deployable,first-party,Rust,platform/gateway,one or more replicas,"Aggregates policy-scoped MCP profiles; terminates OAuth; evaluates policy; records audit; issues short-lived internal identity; proxies hosted-server administration and governed artifact downloads.","HTTPS; MCP Streamable HTTP; OAuth/OIDC; internal HTTP; SurrealDB WebSocket",SurrealDB control revisions and security records,Software,Block
VV-CMP-002,Console BFF,Core deployable,first-party,Rust,apps/console/bff,one or more replicas,"Owns the browser security boundary, PKCE login, encrypted HttpOnly sessions, CSRF enforcement, installation projections, and explicit administrative workflows.","HTTPS; same-origin JSON; OAuth; gateway admin and artifact routes",Encrypted browser session cookie only,Software,Block
VV-CMP-003,Operations console web application,Core application,first-party,React and TypeScript,apps/console/web,static assets served by Console BFF,"Presents health, tasks, artifacts, agents, recordings, MCP topology, policy, audit, and installation state without receiving gateway bearer tokens.","HTTPS; same-origin Console BFF API",No authoritative state,Software,Block
VV-CMP-004,Artifact service,Core deployable,first-party,Rust,platform/artifacts/service,one or more replicas,"Enforces tenant, label, grant, release, retention, share-link, and write-capability policy for governed artifact occurrences and bytes.","Internal HTTP; public share redemption; S3-compatible API; SurrealDB WebSocket",SurrealDB artifact identity and authorization records; object store bytes,Software,Block
VV-CMP-005,Recording Hub,Core deployable,first-party,Rust,platform/recordings/hub,single private spooler per recording volume,"Accepts gateway-authorized recording batches, journals small durable RRD parts, and publishes keyframe-aligned immutable archive shards through one footer-writing object-store compaction pass.","Private authenticated HTTP; versioned protobuf; filesystem RRD parts and archive shards; SurrealDB WebSocket",Internal durable parts; immutable RRD archive shards; SurrealDB recording catalog,Software,Block
VV-CMP-006,Agent kernel,Core agent component,first-party,Rust,agents/kernel,operator-launched agent process,"Runs bounded autonomous episodes with MCP tools, elicitation, memory, replay, budgets, recording, and detach/resume behavior.","MCP Streamable HTTP; agent runtime API; DuckDB; Rerun",SurrealDB-backed runtime descriptors; RRD episode evidence,Software,Block
VV-CMP-007,Agent runtime,Core library,first-party,Rust,agents/runtime,linked into agent processes,"Persists agents, wakes, episodes, watcher leases, retry schedules, task descriptors, results, and retention pins across process restart.","Rust API; SurrealDB WebSocket; durable outbox",SurrealDB agent records and outbox,Software,Block
VV-CMP-008,Platform store,Core library,first-party,Rust,platform/store,linked into platform services,"Owns persistence record types, ordered migrations, stable identities, transactional outbox, changefeed replay, and platform-store access.","Rust API; SurrealDB WebSocket",SurrealDB 3.2.1,Software,Block
VV-CMP-009,Durable task runtime,Core library,first-party,Rust,platform/task-runtime,linked into durable workers,"Owns UUIDv7 task creation, idempotency, leases, claims, progress, elicited input, cancellation, terminal results, retention, recovery, and outbox transitions.","Rust API; platform store; outbox",SurrealDB task and provider-job records,Software,Block
VV-CMP-010,DuckDB runtime,Core library,first-party,Rust,platform/runtimes/duckdb,linked into analytical components,"Provides owner-scoped DuckDB workspace construction and locked analytical execution primitives.","Rust API; DuckDB C API and files",Owner-scoped DuckDB workspace files,Software,Block
VV-CMP-011,Shared MCP contract,Core library,first-party,Rust,mcp/contract,linked into gateway clients and servers,"Defines cross-service Rust models and domain identifiers for gateway configuration, policy vocabulary, artifacts, coordinates, storage, tasks, subscriptions, usage, and URI conventions.",Rust API,No authoritative state,Software,Block
VV-CMP-012,Final MCP task extension,Core library,first-party,Rust,mcp/task-extension,linked into gateway clients and durable servers,"Implements discovery, task-required invocation, get, update, cancel, list, notifications, and SSE subscription projection over the shared runtime.","MCP JSON-RPC extension; SSE task subscription",Shared task runtime only,Software,Block
VV-CMP-013,MCP stdio bridge,Core deployable,first-party,Rust,mcp/bridges/stdio,one bridge process for the Rerun viewer server,"Projects a child stdio MCP server onto bounded Streamable HTTP while preserving the registered gateway identity.","MCP stdio; MCP Streamable HTTP",No authoritative state,Software,Block
VV-CMP-014,Artifact client,Core library,first-party,Rust,platform/artifacts/client,linked into domain servers,"Provides the native Rust client for artifact metadata, capabilities, upload, download, grants, release, and sharing operations.","Rust API; artifact-service internal HTTP",Artifact service only,Software,Block
VV-CMP-015,RRD library,Core library,first-party,Rust,platform/recordings/rrd,linked into recording query and agent components,"Provides Rerun/RRD read, merge, query, and recording utility behavior shared by the platform.","Rust API; RRD files",RRD segment files,Software,Block
VV-CMP-016,Artifact MCP server,Hosted MCP server,first-party,Rust,servers/artifact-mcp,replicated hosted service,"Exposes governed artifact discovery, metadata, grants, release states, share links, subscriptions, prompts, and completions through canonical artifact URIs.","MCP Streamable HTTP; artifact-service internal HTTP; SurrealDB WebSocket",Artifact service and platform store,Software,Block
VV-CMP-017,Frames MCP server,Hosted MCP server,first-party,Rust,servers/frames-mcp,replicated hosted service,"Converts WGS84, ECEF, ENU, and NED frames; derives local frames; persists coordinate operations; and executes durable batches.","MCP Streamable HTTP; artifact-service internal HTTP; SurrealDB WebSocket",SurrealDB frame and coordinate-operation records,Software,Block
VV-CMP-018,DuckDB MCP server,Hosted MCP server,first-party,Rust,servers/duckdb-mcp,single persistent owner-workspace service,"Executes arbitrary query, execute, ingest, and export SQL inside bounded owner-scoped workspaces with governed inputs and outputs.","MCP Streamable HTTP; artifact-service internal HTTP; DuckDB files",Owner-scoped DuckDB files; SurrealDB task metadata,Software,Block
VV-CMP-019,Media MCP server,Hosted MCP server,first-party,Rust,servers/media-mcp,replicated hosted service,"Provides provider-neutral media model discovery, schemas, generation tasks, webhook-only provider completion, usage reconciliation, and governed output artifacts.","MCP Streamable HTTP; provider HTTPS API; signed webhook HTTPS; artifact-service internal HTTP; SurrealDB WebSocket",SurrealDB provider jobs events usage and tasks; artifact plane outputs,Software,Block
VV-CMP-020,Map MCP server,Hosted MCP server,first-party,Rust,servers/map-mcp,single persistent map catalog service,"Governs map sources and releases; performs geodesy, CRS transformation, location inspection, restrictions, reachable areas, routing, and logistics matrices.","MCP Streamable HTTP; administrative HTTP; artifact-service internal HTTP; local subprocess protocols",SurrealDB map governance records; DuckDB catalog; map release files,Software,Block
