requirement_id,requirement,capability_id,operational_activity_id,service_id,component_ids,verification_evidence,notes
VV-REQ-001,"Each installation shall remain organization-owned and shall not depend on a Veoveo vendor control plane, hosted service, or canonical domain name.",VV-CAP-008,VV-OPA-010,VV-SVC-009,"VV-CMP-035|VV-CMP-036|VV-CMP-037|VV-CMP-048","README.md; docs/ARCHITECTURE_DECISIONS.md; testing/smoke/tests/offline_contract.rs",Client-specific identity and ingress remain installation configuration
VV-REQ-002,"Hosted domains shall use the complete MCP protocol surface where it fits, including resources, templates, prompts, completions, tasks, subscriptions, notifications, structured content, and URI identities.",VV-CAP-001,VV-OPA-002,VV-SVC-001,"VV-CMP-001|VV-CMP-011|VV-CMP-012|VV-CMP-016|VV-CMP-017|VV-CMP-019|VV-CMP-020|VV-CMP-022|VV-CMP-023|VV-CMP-025","configs/gateway.local.json; testing/mcp-conformance; testing/smoke",Compatibility helpers remain additive projections
VV-REQ-003,"Every externally reachable MCP or administrative operation shall pass through profile selection, policy evaluation, and audit at the gateway.",VV-CAP-001,VV-OPA-001,VV-SVC-001,"VV-CMP-001|VV-CMP-008|VV-CMP-011","platform/gateway/tests; testing/smoke gateway scenarios",Unknown profiles servers methods resources and targets fail closed
VV-REQ-004,"Provider job completion shall be accepted only from a signed provider webhook and shall never poll provider status.",VV-CAP-002,VV-OPA-003,VV-SVC-003,"VV-CMP-019|VV-CMP-009|VV-CMP-004|VV-CMP-043","servers/media-mcp tests; testing/smoke webhook-only media scenarios; docs/TECH_DESIGN.md",Missing webhook delivery is an operational failure
VV-REQ-005,"Long-running operations shall use one durable task authority with explicit idempotency, leases, recovery class, cancellation, results, retention, and ordered event delivery.",VV-CAP-002,VV-OPA-003,VV-SVC-003,"VV-CMP-008|VV-CMP-009|VV-CMP-012|VV-CMP-038","platform/task-runtime tests; mcp/task-extension tests; testing/smoke",There is no server-local in-memory task registry
VV-REQ-006,"Artifact occurrences and bytes shall remain tenant-isolated and shall enforce labels, grants, release state, retention, and bounded sharing.",VV-CAP-003,VV-OPA-004,VV-SVC-004,"VV-CMP-004|VV-CMP-014|VV-CMP-016|VV-CMP-039","platform/artifacts tests; servers/artifact-mcp tests; testing/smoke artifact scenarios",Artifact hashes are not public identities
VV-REQ-007,"World and sensor producers shall push typed Rerun streams into a private durable recording boundary that preserves crash-decodable evidence.",VV-CAP-004,VV-OPA-005,VV-SVC-005,"VV-CMP-005|VV-CMP-015|VV-CMP-023|VV-CMP-047","platform/recordings/hub tests; testing/smoke hub scenario; docs/RECORDINGS.md",Recording Hub never polls producers
VV-REQ-008,"Perception shall run locally over authorized recorded data with bounded GPU execution and shall publish governed derived results.",VV-CAP-006,VV-OPA-007,VV-SVC-012,"VV-CMP-022|VV-CMP-032|VV-CMP-044|VV-CMP-004|VV-CMP-005","servers/perception-mcp tests and GPU smoke; servers/perception-mcp/DESIGN.md",No hosted inference dependency or CPU inference fallback
VV-REQ-009,"Autonomous agents shall persist wakes, episodes, task descriptors, retries, results, and retention pins across process restart.",VV-CAP-007,VV-OPA-008,VV-SVC-007,"VV-CMP-006|VV-CMP-007|VV-CMP-008|VV-CMP-009","agents/kernel tests; agents/runtime tests; testing/smoke agent-kernel scenario",Chat history is not the source of truth
VV-REQ-010,"Browser JavaScript shall never receive the gateway bearer and every unsafe console request shall enforce CSRF.",VV-CAP-009,VV-OPA-009,VV-SVC-008,"VV-CMP-002|VV-CMP-003|VV-CMP-001","apps/console/bff tests; console build checks; testing/smoke console scenarios",Console BFF is the only browser session boundary
VV-REQ-011,"An offline installation shall verify all transferred files and images and shall not require network access during loading or operation of provider-independent capabilities.",VV-CAP-010,VV-OPA-010,VV-SVC-009,"VV-CMP-037|VV-CMP-035|VV-CMP-036|VV-CMP-048","deploy/offline; testing/smoke/tests/offline_contract.rs",Provider-dependent features may be unavailable offline
VV-REQ-012,"Compose and Helm shall instantiate the same canonical service graph while retaining form-specific controls for storage, ingress, network policy, and mTLS.",VV-CAP-010,VV-OPA-010,VV-SVC-009,"VV-CMP-035|VV-CMP-036|VV-CMP-048","testing/smoke deployment contract tests; deploy/helm/veoveo/values.schema.json",SurrealDB HA is outside the stated baseline
VV-REQ-013,"Analytical users shall retain arbitrary DuckDB SQL within owner-scoped workspaces bounded by engine, filesystem, process, resource, and network controls.",VV-CAP-005,VV-OPA-006,VV-SVC-006,"VV-CMP-018|VV-CMP-010|VV-CMP-045|VV-CMP-004","servers/duckdb-mcp tests; testing/smoke DuckDB scenarios; servers/duckdb-mcp/DESIGN.md",DuckDB is not the platform coordination database
VV-REQ-014,"The platform shall support governed map acquisition, release activation, restrictions, geodesy, routing, reachable areas, and logistics matrices through stable map identities.",VV-CAP-011,VV-OPA-006,VV-SVC-011,"VV-CMP-020|VV-CMP-031|VV-CMP-046|VV-CMP-004|VV-CMP-038","servers/map-mcp tests; servers/map-mcp/DESIGN.md; gateway catalog validation",Route products retain release and restriction dependencies
VV-REQ-015,"Known platform and domain contracts shall use typed structs, enums, identifiers, and schemas; raw JSON shall remain confined to genuinely opaque provider boundaries.",VV-CAP-012,VV-OPA-002,VV-SVC-001,"VV-CMP-011|VV-CMP-030|VV-CMP-001|VV-CMP-HOSTED","cargo test workspace; Python type and test suite; gateway configuration schema validation",Domain schemas stay with the owning server
VV-REQ-016,"Only the gateway shall sign short-lived internal identity assertions and hosted services shall validate the key identifier, audience, tenant, principal, labels, scopes, and expiry.",VV-CAP-008,VV-OPA-001,VV-SVC-002,"VV-CMP-001|VV-CMP-011|VV-CMP-030|VV-CMP-HOSTED","platform/gateway authentication tests; Python SDK tests; testing/smoke",Hosted services receive public trust keys only
VV-REQ-017,"SurrealDB shall remain the sole platform coordination authority; transactional outbox replay shall remain authoritative over best-effort live delivery.",VV-CAP-008,VV-OPA-003,VV-SVC-003,"VV-CMP-008|VV-CMP-009|VV-CMP-038","platform/store tests; platform/task-runtime tests; docs/TECH_DESIGN.md",DuckDB and RRD serve analytical and recording purposes
VV-REQ-018,"New hosted servers shall compose through shared contracts and the gateway catalog without leaking server-specific behavior into generic gateway modules.",VV-CAP-012,VV-OPA-002,VV-SVC-001,"VV-CMP-001|VV-CMP-011|VV-CMP-012|VV-CMP-030|VV-CMP-025","templates/python-mcp tests; gateway catalog validation; testing/mcp-conformance",Server-local domain contracts remain authoritative
